fid,DN,fid_2,DN_2,fid_3,id,objectid_1,objectid,village,vlcode,gram_panch,gram_pan_1,block,bkcode,subdistric,sdcode,sub_distri,district,dtcode,district_h,state,stcode,uqcode,country,total_urba,total_hous,total_popu,avg_househ,total_geog,total_male,total_fema,tapwater_t,tapwater_u,covered_we,covered__1,covered__2,uncovered_,uncovere_1,uncovere_2,handpump_s,hand_pump_,hand_pum_1,tubewell_b,tube_wells,tube_wel_1,spring_sta,spring_fun,spring_f_1,river_cana,tank_pond_,others_sta,closed_dra,open_drain,village_pi,forest_are,area_under,barren_unc,permanent_,land_under,culturable,fallows_la,current_fa,net_area_s,total_unir,area_irrig,canals_are,wells_tube,tanks_lake,waterfall_,other_sour,nearest_to,nearest__1,shape_leng,shape_le_1,shape_area,ds_name,src_agency,state_name,village_area_km2,village_id,flood_area_km2,flood_exposure_pct,flood_risk
1,1,1,1,4171,41004,41004,107539,Udapur,540770,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,578,2405,4.16089965,315,1225,1180,Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,7,6,43,0,0,0,0,6,253,48,205,0,48,0,0,0,BRAHMAPURI,3,9117.822868,9117.822868,2475183.701,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4171,0.007218707,0.240623579,Low
2,1,1,1,4320,41163,41163,107698,Mulur Chak,538515,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,18,71,3.94444444,140,44,27,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,0,24,0,72,0,11,1,0,32,65,-33,65,0,0,0,0,DESAIGANJ,27,11327.14544,11327.14544,5245195.984,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4320,0.024030352,0.480607047,Low
3,1,1,1,2965,39762,39762,106297,Pardi,540953,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,318,1419,4.46226415,530,738,681,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,9,66,25,0,70,0,0,8,352,210,141,104,3,54,0,50,MUL,22,9864.038811,9864.038811,4416252.861,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,2965,0.184347313,3.686946262,Low
4,1,1,1,4062,40886,40886,107421,Kudesawali,540859,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,298,1147,3.84899329,350,597,550,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,42,0,80,5,0,2,7,23,191,29,162,0,1,22,0,5,BRAHMAPURI,41,11086.60803,11086.60803,6063382.921,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,4062,1.411073698,23.51789497,Moderate
5,1,1,1,3021,39817,39817,106352,Samada Bk,540917,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,804,3081,3.83208955,1140,1569,1512,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,155,65,0,12,0,60,0,109,739,510,229,263,2,238,0,7,MUL,31,16629.72898,16629.72898,13027383.56,Administrative Boundary,Survey of India (SOI),"Maharashtra
",13,3021,0.8636599,6.643537696,Low
6,1,1,1,4295,41138,41138,107673,Kharkada,540778,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,476,1966,4.1302521,659,989,977,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,18,111,3,0,2,0,4,522,11,511,0,6,0,0,5,BRAHMAPURI,13,9686.887399,9686.887399,5966767.422,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,4295,0.774053136,12.9008856,Low
7,1,1,1,3090,39887,39887,106422,Visapur Raiyyatwari,539270,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,156,703,4.50641026,447,359,344,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,219,20,28,22,0,7,2,2,147,83,64,0,0,81,0,2,GADCHIROLI,32,9965.398098,9965.398098,5420736.544,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,3090,0.000410283,0.006838054,Low
8,1,1,1,3999,40825,40825,107360,Mudaza,540860,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,925,3659,3.95567568,1447,1866,1793,Available,Not Available,Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,839,1,104,7,0,29,21,14,431,298,133,10,283,0,5,0,BRAHMAPURI,43,19955.47093,19955.47093,14349352.35,Administrative Boundary,Survey of India (SOI),"Maharashtra
",15,3999,0.113439206,0.756261376,Low
9,1,1,1,4158,40991,40991,107526,Paradgaon,540774,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,391,1633,4.17647059,318,848,785,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,1,10,12,0,0,1,0,1,292,50,242,0,44,0,0,6,BRAHMAPURI,5,6955.224927,6955.224927,2694881.579,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4158,0.032085295,1.069509822,Low
10,1,1,1,4069,40894,40894,107429,Chikhali,540882,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,155,601,3.87741935,384,311,290,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Available,110,0,0,12,0,3,61,2,195,110,85,0,1,107,0,2,MUL,30,9819.288268,9819.288268,4332143.837,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,4069,0.383828836,9.595720889,Low
11,1,1,1,4067,40892,40892,107427,Bormala,540880,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,372,1545,4.15322581,860,781,764,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,21,2,0,68,0,65,133,51,521,107,414,0,3,96,0,8,MUL,44,12546.5113,12546.5113,9483235.025,Administrative Boundary,Survey of India (SOI),"Maharashtra
",10,4067,0.73894433,7.389443301,Low
12,1,1,1,4339,41182,41182,107717,Wankhi,538528,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,233,947,4.06437768,499,491,456,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,83,47,41,10,0,3,2,4,308,153,155,0,10,143,0,0,DESAIGANJ,26,9633.97181,9633.97181,4365908.543,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4339,0.044476418,0.889528356,Low
13,1,1,1,4668,41924,41924,108459,Kinhala,537503,,,Lakhandur,94,Lakhandur,4043,Lakhandur,Bhandara,471,BHANDARA,MH,27,,India,Rural,122,564,4.62295082,244,274,290,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,2,50,0,0,0,0,5,0,187,100,87,76,24,0,0,0,Desaiganj,17,6838.759197,6838.759197,2942418.827,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4668,0.200358072,6.678602407,Low
14,1,1,1,4112,40942,40942,107477,Mohazari Patch,539101,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,61,244,4,815,129,115,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,763,4,6,19,0,1,3,2,17,18,-1,0,0,18,0,0,GADCHIROLI,14,18656.62328,18656.62328,10259296.81,Administrative Boundary,Survey of India (SOI),"Maharashtra
",11,4112,0.348539939,3.168544899,Low
15,1,1,1,4695,41953,41953,108488,Visora,538483,,,Desaiganj (Vadasa),103,Desaiganj (Vadasa),4052,Desaiganj (Vadasa),Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,1146,4604,4.01745201,1136,2357,2247,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,166,0,133,43,0,316,0,5,473,389,84,21,314,55,0,0,DESAIGANJ,6,14491.18842,14491.18842,10703584.62,Administrative Boundary,Survey of India (SOI),"Maharashtra
",11,4695,0.036086951,0.32806319,Low
16,1,1,1,4674,41930,41930,108465,Khairi,537507,,,Lakhandur,94,Lakhandur,4043,Lakhandur,Bhandara,471,BHANDARA,MH,27,,India,Rural,290,1286,4.43448276,561,644,642,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,57,2,0,1,0,0,0,501,116,385,0,116,0,0,0,Desaiganj,20,10243.27944,10243.27944,5726393.169,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,4674,0.813883889,13.56473149,Low
17,1,1,1,4334,41177,41177,107712,Thanegaon,538526,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,763,3353,4.39449541,656,1720,1633,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,245,10,0,0,0,7,25,8,361,25,337,0,0,8,0,17,DESAIGANJ,23,12782.56136,12782.56136,6523278.873,Administrative Boundary,Survey of India (SOI),"Maharashtra
",7,4334,0.357392237,5.105603381,Low
18,1,1,1,3132,39930,39930,106465,Nilsani Pethgaon,540939,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,398,1588,3.98994975,429,754,834,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,74,84,0,0,0,3,24,6,239,116,123,50,3,63,0,0,MUL,38,12449.37445,12449.37445,4546747.144,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,3132,0.167073937,3.341478731,Low
19,1,1,1,3007,39804,39804,106339,Shankarpur,539229,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,221,1001,4.52941176,608,515,486,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,3,30,3,0,1,2,18,12,539,504,35,482,22,0,0,0,MUL,31,10160.15358,10160.15358,4619640.473,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,3007,0.05154424,1.030884804,Low
20,1,1,1,4319,41162,41162,107697,Armori,538518,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,4441,18504,4.16662914,2300,9162,9342,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,152,41,352,216,62,27,18,27,1405,639,766,517,22,100,0,0,DESAIGANJ,18,23842.45691,23842.45691,19704938.44,Administrative Boundary,Survey of India (SOI),"Maharashtra
",20,4319,0.727915915,3.639579577,Low
21,1,1,1,4437,41404,41404,107939,Reserved Forest,999999,,,,,Brahmapuri,4067,,Chandrapur,473,,MH,27,,India,Rural,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,208282.9005,208282.9005,187227824.9,Administrative Boundary,Survey of India (SOI),"Maharashtra
",194,4437,0.00077016,0.00039699,Low
22,1,1,1,3035,39833,39833,106368,Kadholi,540967,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,198,785,3.96464646,617,388,397,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,222,0,139,5,0,42,0,20,188,95,93,0,0,66,0,29,MUL,34,5189.356301,5189.356301,1116592.324,Administrative Boundary,Survey of India (SOI),"Maharashtra
",1,3035,0.024983931,2.4983931,Low
23,1,1,1,4305,41146,41146,107681,Kurud,538493,,,Desaiganj (Vadasa),103,Desaiganj (Vadasa),4052,Desaiganj (Vadasa),Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,1486,5910,3.97711978,872,2905,3005,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,32,150,5,69,0,1,0,1,615,418,196,415,3,0,0,0,DESAIGANJ,6,15378.17483,15378.17483,15015917.3,Administrative Boundary,Survey of India (SOI),"Maharashtra
",16,4305,0.451949942,2.824687135,Low
24,1,1,1,4559,41812,41812,108347,Ladaj,540738,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,316,1300,4.11392405,968,688,612,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,13,8,287,0,0,2,2,12,643,281,362,0,281,0,0,0,BRAHMAPURI,24,12001.61049,12001.61049,7306666.327,Administrative Boundary,Survey of India (SOI),"Maharashtra
",8,4559,1.465398695,18.31748369,Moderate
25,1,1,1,3074,39871,39871,106406,Talodhi Mokasa,539263,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,937,3597,3.83884739,1068,1798,1799,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,9,257,6,18,0,105,0,0,672,452,220,0,12,440,0,0,GADCHIROLI,26,16145.57049,16145.57049,11787162.21,Administrative Boundary,Survey of India (SOI),"Maharashtra
",12,3074,0.546048979,4.550408157,Low
26,1,1,1,4090,40925,40925,107460,Churmura,538589,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,366,1513,4.13387978,461,762,751,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,30,125,1,5,0,9,0,2,288,173,115,0,0,149,0,24,GADCHIROLI,23,10494.76214,10494.76214,5239773.079,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4090,0.580030485,11.6006097,Low
27,1,1,1,3050,39848,39848,106383,Shivni,539176,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,482,1883,3.906639,877,954,929,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,10,58,20,2,2,0,2,0,784,356,428,0,7,169,0,180,GADCHIROLI,10,17041.919,17041.919,11963491.47,Administrative Boundary,Survey of India (SOI),"Maharashtra
",12,3050,2.529473186,21.07894321,Moderate
28,1,1,1,3039,39837,39837,106372,Krupala,539163,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,47,204,4.34042553,51,104,100,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Available,0,7,0,3,0,1,4,0,36,45,-8,0,0,45,0,0,GADCHIROLI,9,9923.128263,9923.128263,4614782.326,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,3039,0.023927585,0.478551693,Low
29,1,1,1,2919,39755,39755,106290,Rudrapur,540955,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,180,668,3.71111111,583,435,233,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,22,67,19,0,51,0,0,20,404,67,337,18,6,43,0,0,MUL,17,9292.900175,9292.900175,4700067.85,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,2919,0.04844347,0.968869402,Low
30,1,1,1,3130,39928,39928,106463,Amgaon Chak No 2,539352,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,70,240,3.42857143,177,120,120,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,58,8,1,0,0,0,0,0,110,81,29,81,0,0,0,0,GADCHIROLI,42,9056.683296,9056.683296,2893717.482,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,3130,6.86E-05,0.002285233,Low
31,1,1,1,4135,40965,40965,107500,Jepra,539146,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,239,929,3.88702929,165,473,456,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Available,0,5,30,4,0,9,1,0,116,98,18,0,5,93,0,0,GADCHIROLI,11,4646.90465,4646.90465,1245131.853,Administrative Boundary,Survey of India (SOI),"Maharashtra
",1,4135,0.009647854,0.964785358,Low
32,1,1,1,2952,39761,39761,106296,Pethgaon,540958,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,142,585,4.11971831,354,294,291,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,141,0,0,0,0,0,13,201,149,52,105,44,0,0,0,MUL,18,9960.577663,9960.577663,5560779.904,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,2952,0.007244689,0.120744823,Low
33,1,1,1,4302,41201,41201,107736,Pewati Alies Nawegaon,538576,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,0,0,0,401,0,0,,,,,,,,,,,,,,,,,,,,,,,,89,42,0,6,0,101,0,0,162,78,85,0,0,78,0,0,,0,6165.409767,6165.409767,2275616.108,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,4302,0.008545169,0.42725843,Low
34,1,1,1,4131,40961,40961,107496,Gogaon,539111,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,500,2040,4.08,888,1027,1013,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,363,111,0,21,0,9,4,3,377,198,179,0,1,187,0,10,GADCHIROLI,5,16164.24509,16164.24509,8522063.61,Administrative Boundary,Survey of India (SOI),"Maharashtra
",9,4131,0.671162168,7.457357427,Low
35,1,1,1,4353,41195,41195,107730,Akapur Chak,538587,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,164,572,3.48780488,428,287,285,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,122,53,0,0,0,0,6,2,245,12,234,0,0,12,0,0,GADCHIROLI,27,10142.16361,10142.16361,4509742.97,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4353,0.017670266,0.353405325,Low
36,1,1,1,4441,41409,41409,107944,Pathargaon R F,999999,,,,,Armori,4053,,Gadchiroli,475,,MH,27,,India,Rural,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,85326.29652,85326.29652,85000755.84,Administrative Boundary,Survey of India (SOI),"Maharashtra
",88,4441,0.211281204,0.240092277,Low
37,1,1,1,4652,41906,41906,108441,Awali,537514,,,Lakhandur,94,Lakhandur,4043,Lakhandur,Bhandara,471,BHANDARA,MH,27,,India,Rural,98,431,4.39795918,328,208,223,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,0,2,4,3,0,0,139,2,177,13,164,0,13,0,0,0,Desaiganj,8,6646.915213,6646.915213,2693400.51,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4652,0.035671915,1.189063824,Low
38,1,1,1,4114,40944,40944,107479,Nagri,539100,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,285,1053,3.69473684,665,537,516,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,118,0,54,0,49,50,8,386,281,105,0,3,278,0,0,GADCHIROLI,16,11822.58368,11822.58368,6239173.146,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,4114,0.613893292,10.23155486,Low
39,1,1,1,4183,41015,41015,107550,Betala,540775,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,397,1669,4.20403023,429,830,839,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,12,0,1,0,2,36,2,376,23,353,0,23,0,0,0,BRAHMAPURI,7,7823.784912,7823.784912,3570438.593,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,4183,0.262614772,6.565369298,Low
40,1,1,1,4338,41181,41181,107716,Wasala,538527,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,670,2738,4.08656716,398,1374,1364,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,33,19,0,24,0,6,10,0,306,126,179,0,20,106,0,0,DESAIGANJ,25,9672.637156,9672.637156,3625076.728,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,4338,0.023990175,0.599754385,Low
41,1,1,1,3023,39819,39819,106354,Wagholi,540916,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,176,675,3.83522727,128,329,346,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,0,40,0,1,0,4,0,12,72,75,-3,68,0,7,0,0,GADCHIROLI,13,5338.681717,5338.681717,1602457.225,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,3023,0.067290395,3.364519746,Low
42,1,1,1,4066,40891,40891,107426,Kasargaon,540878,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,192,719,3.74479167,247,360,359,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,0,1,0,5,0,16,36,4,186,70,115,0,1,63,0,6,MUL,42,9379.034963,9379.034963,3050641.413,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4066,0.15341921,5.113973675,Low
43,1,1,1,3095,39891,39891,106426,Amgaon Mahal,539348,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,682,2491,3.65249267,532,1283,1208,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,90,118,9,14,0,21,0,1,279,260,18,0,1,259,0,0,GADCHIROLI,44,6860.344512,6860.344512,2381397.833,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,3095,0.014807982,0.740399099,Low
44,1,1,1,4070,40895,40895,107430,Nifandra,540886,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,584,2373,4.06335616,877,1172,1201,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,46,3,0,22,0,45,134,12,616,380,236,0,1,366,0,12,MUL,28,13049.9461,13049.9461,9071496.631,Administrative Boundary,Survey of India (SOI),"Maharashtra
",9,4070,1.050883206,11.67648007,Low
45,1,1,1,4671,41927,41927,108462,Chaprad,537509,,,Lakhandur,94,Lakhandur,4043,Lakhandur,Bhandara,471,BHANDARA,MH,27,,India,Rural,717,3090,4.30962343,1156,1563,1527,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,154,15,142,14,0,154,85,0,591,548,43,520,28,0,0,0,Desaiganj,12,11948.37782,11948.37782,8311093.072,Administrative Boundary,Survey of India (SOI),"Maharashtra
",9,4671,0.799978205,8.888646725,Low
